starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2020-08-01 00:02:04.9660,2020-08-01 00:11:38.9130,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,3163,Central Park West & W 68 St,40.7734066,-73.97782542,17226,Customer,1977,
2020-08-01 00:02:05.0510,2020-08-01 00:17:20.3420,3893,Rockaway Ave & Bainbridge St,40.6831998817276,-73.9116664230824,3052,Lewis Ave & Madison St,40.686312,-73.935775,43190,Customer,1969,0
2020-08-01 00:02:10.0530,2020-08-01 00:19:18.3180,128,MacDougal St & Prince St,40.72710258,-74.00297088,412,Forsyth St & Canal St,40.7158155,-73.99422366,20206,Customer,1800,1
2020-08-01 00:02:11.0950,2020-08-01 00:11:11.8070,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3856,Kingsland Ave & Nassau Ave,40.72577,-73.94173,31526,,1990,2
2020-08-01 00:02:11.8140,2020-08-01 00:11:37.1370,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,3421,Hoyt St & Warren St,40.6843549,-73.98901629,44981,Customer,1969,0
2020-08-01 00:02:16.6520,2020-08-01 00:14:15.9190,386,Centre St & Worth St,40.71494807,-74.00234482,304,Broadway & Battery Pl,40.70463334,-74.01361706,15989,Customer,1993,1
2020-08-01 00:02:19.6820,2020-07-31 00:22:41.5090,3160,Central Park West & W 76 St,40.77896784,-73.97374737,305,E 58 St & 3 Ave,40.76095756,-73.96724467,45579,Subscriber,1970,1
2020-08-01 00:02:24.5090,2020-08-01 00:08:20.6800,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,3142,1 Ave & E 62 St,40.7612274,-73.96094022,43192,Subscriber,1997,1
2020-08-01 00:02:25.9340,2020-08-01 00:49:39.6700,422,W 59 St & 10 Ave,40.770513,-73.988038,513,W 56 St & 10 Ave,40.768254,-73.988639,42835,Subscriber,1955,1
2020-08-01 00:02:26.0570,2020-08-01 01:04:03.5530,502,Henry St & Grand St,40.714211,-73.981095,502,Henry St & Grand St,40.714211,-73.981095,19606,Customer,1999,1
2020-08-01 00:02:27.2090,2020-08-01 00:14:00.2060,3658,W 18 St & 9 Ave,40.7435337324616,-74.0036755800247,478,11 Ave & W 41 St,40.76030096,-73.99884222,35202,Subscriber,1994,1
